season,week,game_id,matchup,market,selection,line,price,model_prob,ev,stake_pct,result,profit,confidence
2016,15,2016_15_DET_NYG,DET @ NYG,TOTAL,under,42.5,2.0,0.538607,7.72,1,win,1.0,0.95
2016,15,2016_15_NO_ARI,NO @ ARI,SPREAD,NO,3.0,1.9524,0.5398,5.39,1,win,0.9523999999999999,0.95
2016,15,2016_15_SF_ATL,SF @ ATL,SPREAD,SF,13.5,2.0,0.533506,6.7,1,lose,-1,0.95
2016,15,2016_15_NE_DEN,NE @ DEN,SPREAD,DEN,3.0,1.885,0.558385,5.26,1,lose,-1,0.95
2016,15,2016_15_TB_DAL,TB @ DAL,TOTAL,under,47.5,1.8621,0.558203,3.94,1,win,0.8621000000000001,0.95
2016,15,2016_15_CAR_WAS,CAR @ WAS,SPREAD,CAR,7.0,1.9174,0.544646,4.43,1,win,0.9174,0.95
2016,16,2016_16_MIA_BUF,MIA @ BUF,SPREAD,BUF,-4.5,1.9259,0.535349,3.1,1,lose,-1,0.83
2016,16,2016_16_SD_CLE,SD @ CLE,SPREAD,CLE,4.5,1.9346,0.535582,3.61,1,win,0.9346000000000001,0.6162
2016,16,2016_16_TEN_JAX,TEN @ JAX,SPREAD,TEN,-4.0,1.9524,0.5252,2.54,1,lose,-1,0.95
2016,16,2016_16_SF_LA,SF @ LA,TOTAL,under,39.5,1.9524,0.545,6.41,1,lose,-1,0.95
2016,16,2016_16_ARI_SEA,ARI @ SEA,TOTAL,under,43.5,1.9524,0.545,6.41,1,lose,-1,0.95
2016,16,2016_16_BAL_PIT,BAL @ PIT,SPREAD,BAL,5.5,1.9709,0.534298,5.3,1,win,0.9709000000000001,0.95
2016,16,2016_16_DEN_KC,DEN @ KC,TOTAL,under,38.5,1.9524,0.545,6.41,1,lose,-1,0.95
2016,16,2016_16_DET_DAL,DET @ DAL,TOTAL,under,47.0,1.9709,0.53345,5.14,1,lose,-1,0.95
2016,17,2016_17_BAL_CIN,BAL @ CIN,TOTAL,under,40.5,1.9259,0.54884,5.7,1,win,0.9259,0.95
2016,17,2016_17_BUF_NYJ,BUF @ NYJ,SPREAD,BUF,-3.5,1.9259,0.552189,6.35,1,lose,-1,0.95
2016,17,2016_17_DAL_PHI,DAL @ PHI,SPREAD,DAL,6.5,1.8772,0.546413,2.57,1,lose,-1,0.95
2016,17,2016_17_CLE_PIT,CLE @ PIT,SPREAD,PIT,-3.5,1.9091,0.553814,5.73,1,lose,-1,0.95
2016,17,2016_17_HOU_TEN,HOU @ TEN,SPREAD,TEN,-3.0,1.8772,0.559733,5.07,1,win,0.8772,0.95
2016,17,2016_17_ARI_LA,ARI @ LA,SPREAD,LA,7.0,1.885,0.545665,2.86,1,lose,-1,0.95
2016,17,2016_17_KC_SD,KC @ SD,SPREAD,SD,5.5,1.9709,0.533538,5.16,1,lose,-1,0.6162
2016,17,2016_17_GB_DET,GB @ DET,SPREAD,DET,3.5,1.9804,0.532571,5.47,1,lose,-1,0.95
2017,2,2017_02_BUF_CAR,BUF @ CAR,SPREAD,BUF,6.5,1.9615,0.525154,3.01,1,win,0.9615,0.4551
2017,2,2017_02_PHI_KC,PHI @ KC,SPREAD,PHI,4.0,1.9524,0.53348,4.16,1,lose,-1,0.4551
2017,2,2017_02_MIN_PIT,MIN @ PIT,SPREAD,MIN,8.5,1.9615,0.533834,4.71,1,lose,-1,0.4551
2017,2,2017_02_CHI_TB,CHI @ TB,SPREAD,TB,-7.0,1.9091,0.543494,3.76,1,win,0.9091,0.3526
2017,2,2017_02_DAL_DEN,DAL @ DEN,SPREAD,DAL,-2.5,2.0,0.528386,5.68,1,lose,-1,0.3351
2017,2,2017_02_WAS_LA,WAS @ LA,SPREAD,LA,-3.0,1.9615,0.538274,5.58,1,lose,-1,0.4551
2017,3,2017_03_LA_SF,LA @ SF,TOTAL,under,40.5,1.9174,0.550102,5.48,1,lose,-1,0.4551
2017,3,2017_03_PIT_CHI,PIT @ CHI,TOTAL,under,43.5,1.9524,0.53726,4.89,1,win,0.9523999999999999,0.4551
2017,3,2017_03_TB_MIN,TB @ MIN,TOTAL,under,41.0,2.0,0.537212,7.44,1,lose,-1,0.3351
2017,3,2017_03_MIA_NYJ,MIA @ NYJ,SPREAD,NYJ,5.5,1.9346,0.532142,2.95,1,win,0.9346000000000001,0.4551
2017,3,2017_03_SEA_TEN,SEA @ TEN,SPREAD,TEN,-2.0,1.8621,0.562403,4.73,1,win,0.8621000000000001,0.4551
2017,3,2017_03_KC_LAC,KC @ LAC,TOTAL,over,47.5,1.9434,0.545119,5.94,1,lose,-1,0.4551
2017,4,2017_04_CAR_NE,CAR @ NE,SPREAD,CAR,9.0,1.9091,0.550774,5.15,1,win,0.9091,0.4551
2017,4,2017_04_JAX_NYJ,JAX @ NYJ,SPREAD,JAX,-4.0,2.0,0.535066,7.01,1,lose,-1,0.4551
2017,4,2017_04_SF_ARI,SF @ ARI,SPREAD,SF,6.5,1.9615,0.544434,6.79,1,win,0.9615,0.4551
2017,4,2017_04_PHI_LAC,PHI @ LAC,SPREAD,PHI,1.5,1.9524,0.527,2.89,1,win,0.9523999999999999,0.4551
2017,4,2017_04_IND_SEA,IND @ SEA,SPREAD,IND,12.5,1.9091,0.534814,2.1,1,lose,-1,0.3351
2017,4,2017_04_WAS_KC,WAS @ KC,SPREAD,WAS,6.5,1.9091,0.537694,2.65,1,lose,-1,0.4551
2017,5,2017_05_SEA_LA,SEA @ LA,SPREAD,LA,-2.0,1.885,0.558385,5.26,1,lose,-1,0.5551
2017,5,2017_05_BAL_OAK,BAL @ OAK,TOTAL,under,40.5,1.9091,0.550718,5.14,1,lose,-1,0.4526
2017,5,2017_05_MIN_CHI,MIN @ CHI,SPREAD,CHI,3.5,1.8772,0.544133,2.14,1,win,0.8772,0.5551
2017,6,2017_06_MIA_ATL,MIA @ ATL,SPREAD,MIA,14.0,1.9091,0.535094,2.15,1,win,0.9091,0.5551
2017,6,2017_06_CLE_HOU,CLE @ HOU,SPREAD,CLE,7.5,1.885,0.558385,5.26,1,lose,-1,0.95
